"Service","Package","Version","Hide","Notes"
"Microsoft.Azure.WebJobs.Extensions.SendGrid","Microsoft.Azure.WebJobs.Extensions.SendGrid","3.0.0","",""
"Microsoft.Azure.WebJobs.Extensions.ServiceBus","Microsoft.Azure.WebJobs.Extensions.ServiceBus","4.1.1","",""
"Microsoft.Azure.WebJobs.Extensions.SignalRService","Microsoft.Azure.WebJobs.Extensions.SignalRService","1.1.0","",""
"Microsoft.Azure.WebJobs.Extensions.Storage","Microsoft.Azure.WebJobs.Extensions.Storage","3.0.11","",""
"Microsoft.Azure.WebJobs.Extensions.Twilio","Microsoft.Azure.WebJobs.Extensions.Twilio","3.0.0","",""
"Microsoft.Azure.WebJobs.Host.Storage","Microsoft.Azure.WebJobs.Host.Storage","3.0.14","",""
"Microsoft.Azure.WebJobs.Host.TestCommon","Microsoft.Azure.WebJobs.Host.TestCommon","3.0.14","",""
"Microsoft.Azure.WebJobs.ItemTemplates","Microsoft.Azure.WebJobs.ItemTemplates","3.1.1528","",""
"Microsoft.Azure.WebJobs.Logging","Microsoft.Azure.WebJobs.Logging","3.0.14","",""
"Microsoft.Azure.WebJobs.Logging.ApplicationInsights","Microsoft.Azure.WebJobs.Logging.ApplicationInsights","3.0.14","",""
"Microsoft.Azure.WebJobs.ProjectTemplates","Microsoft.Azure.WebJobs.ProjectTemplates","3.1.1528","",""
"Microsoft.Azure.WebJobs.Script.ExtensionsMetadataGenerator","Microsoft.Azure.WebJobs.Script.ExtensionsMetadataGenerator","1.1.8","",""
"Microsoft.Azure.WebJobs.ServiceBus","Microsoft.Azure.WebJobs.ServiceBus","2.3.0","",""
"Microsoft.Azure.WebJobs.Sources","Microsoft.Azure.WebJobs.Sources","3.0.16","",""
"Microsoft.AzureStack.AzureConsistentStorage","Microsoft.AzureStack.AzureConsistentStorage","0.10.6","",""
"Microsoft.Extensions.Azure","Microsoft.Extensions.Azure","1.0.0","",""
"Microsoft.Hadoop.Client","Microsoft.Hadoop.Client","1.5.13","",""
"Microsoft.Rest.ClientRuntime","Microsoft.Rest.ClientRuntime","2.3.21","",""
"Microsoft.Rest.ClientRuntime.Azure","Microsoft.Rest.ClientRuntime.Azure","3.3.19","",""
"Microsoft.Rest.ClientRuntime.Azure.Authentication","Microsoft.Rest.ClientRuntime.Azure.Authentication","2.4.0","",""
"Microsoft.Rest.ClientRuntime.Azure.TestFramework","Microsoft.Rest.ClientRuntime.Azure.TestFramework","1.7.7","",""
"Microsoft.Rest.ClientRuntime.Etw","Microsoft.Rest.ClientRuntime.Etw","2.1.3","",""
"Microsoft.Rest.ClientRuntime.Log4Net","Microsoft.Rest.ClientRuntime.Log4Net","2.1.4","",""
"Microsoft.SqlServer.Management.AlwaysEncrypted.AzureKeyVaultProvider","Microsoft.SqlServer.Management.AlwaysEncrypted.AzureKeyVaultProvider","2.2.0","",""
"Microsoft.Web.RedisOutputCacheProvider","Microsoft.Web.RedisOutputCacheProvider","3.0.1","",""
"Microsoft.Web.RedisSessionStateProvider","Microsoft.Web.RedisSessionStateProvider","4.0.1","",""
"Microsoft.WindowsAzure.Caching","Microsoft.WindowsAzure.Caching","2.9.5","",""
"Microsoft.WindowsAzure.Caching.MemcacheShim","Microsoft.WindowsAzure.Caching.MemcacheShim","2.9.5","",""
"Microsoft.WindowsAzure.Common","Microsoft.WindowsAzure.Common","1.4.1","",""
"Microsoft.WindowsAzure.Common.Dependencies","Microsoft.WindowsAzure.Common.Dependencies","1.1.1","",""
"Microsoft.WindowsAzure.Common.Tracing.Etw","Microsoft.WindowsAzure.Common.Tracing.Etw","1.0.0","",""
"Microsoft.WindowsAzure.Common.Tracing.Log4Net","Microsoft.WindowsAzure.Common.Tracing.Log4Net","1.0.0","",""
"Microsoft.WindowsAzure.ConfigurationManager","Microsoft.WindowsAzure.ConfigurationManager","3.2.3","",""
"Microsoft.WindowsAzure.Management","Microsoft.WindowsAzure.Management","4.1.3","",""
"Microsoft.WindowsAzure.Management.Automation","Microsoft.WindowsAzure.Management.Automation","1.0.3","",""
"Microsoft.WindowsAzure.Management.Compute","Microsoft.WindowsAzure.Management.Compute","14.0.0","",""
"Microsoft.WindowsAzure.Management.HDInsight","Microsoft.WindowsAzure.Management.HDInsight","1.5.13","",""
"Microsoft.WindowsAzure.Management.Libraries","Microsoft.WindowsAzure.Management.Libraries","2.0.0","",""
"Microsoft.WindowsAzure.Management.MediaServices","Microsoft.WindowsAzure.Management.MediaServices","4.1.0","",""
"Microsoft.WindowsAzure.Management.Monitoring","Microsoft.WindowsAzure.Management.Monitoring","4.1.0","",""
"Microsoft.WindowsAzure.Management.Network","Microsoft.WindowsAzure.Management.Network","8.2.1","",""
"Microsoft.WindowsAzure.Management.RemoteApp","Microsoft.WindowsAzure.Management.RemoteApp","2.0.7","",""
"Microsoft.WindowsAzure.Management.Scheduler","Microsoft.WindowsAzure.Management.Scheduler","6.2.0","",""
"Microsoft.WindowsAzure.Management.Sql","Microsoft.WindowsAzure.Management.Sql","5.2.0","",""
