"DisplayName","Package","Version","Hide","Notes","Type"
"Microsoft.Azure.Management.ManagementPartner","Microsoft.Azure.Management.ManagementPartner","1.1.1-preview","","",""
"Microsoft.Azure.Management.Maps","Microsoft.Azure.Management.Maps","1.0.2","","",""
"Microsoft.Azure.Management.Marketplace","Microsoft.Azure.Management.Marketplace","1.0.1","","",""
"Microsoft.Azure.Management.MarketplaceOrdering","Microsoft.Azure.Management.MarketplaceOrdering","1.0.1","","",""
"Microsoft.Azure.Management.Media","Microsoft.Azure.Management.Media","2.1.0-preview","","",""
"Microsoft.Azure.Management.MixedReality","Microsoft.Azure.Management.MixedReality","1.0.0","","",""
"Microsoft.Azure.Management.Monitor","Microsoft.Azure.Management.Monitor","0.25.1-preview","","",""
"Microsoft.Azure.Management.Monitor.Fluent","Microsoft.Azure.Management.Monitor.Fluent","1.34.0","","",""
"Microsoft.Azure.Management.Msi.Fluent","Microsoft.Azure.Management.Msi.Fluent","1.34.0","","",""
"Microsoft.Azure.Management.NetApp","Microsoft.Azure.Management.NetApp","1.5.1","","",""
"Microsoft.Azure.Management.Network","Microsoft.Azure.Management.Network","20.0.2-preview","","",""
"Microsoft.Azure.Management.Network.Fluent","Microsoft.Azure.Management.Network.Fluent","1.34.0","","",""
"Microsoft.Azure.Management.NotificationHubs","Microsoft.Azure.Management.NotificationHubs","2.3.2-preview","","",""
"Microsoft.Azure.Management.NotificationHubs.Fluent","Microsoft.Azure.Management.NotificationHubs.Fluent","1.9.1-beta","","",""
"Microsoft.Azure.Management.OperationalInsights","Microsoft.Azure.Management.OperationalInsights","0.21.0-preview","","",""
"Microsoft.Azure.Management.Peering","Microsoft.Azure.Management.Peering","2.1.0","","",""
"Microsoft.Azure.Management.PolicyInsights","Microsoft.Azure.Management.PolicyInsights","3.1.0","","",""
"Microsoft.Azure.Management.PostgreSQL","Microsoft.Azure.Management.PostgreSQL","0.9.0-preview","","",""
"Microsoft.Azure.Management.PowerBIDedicated","Microsoft.Azure.Management.PowerBIDedicated","0.11.0-preview","","",""
